Seal ID,Timestamp,Block Height,Custodian ID,Custodian Name,Passport ID,Hardware Enclave,FIPS Standard,PQC Signature Scheme,Certificate Serial,Merkle Leaf Hash,Legal Compliance Tag,Status
SEAL-00001-TC01,2026-09-01T09:32:02.813Z,849202,TC-01,นายยุทธภูมิ พากเพียร,#EP-SOVEREIGN-01,NitroKey HSM-PQC-01,FIPS 140-3 Level 4 Secure Element,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-OMEGA-0001-2026-ROOT,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ETDA Sec 28 (Sovereign Root CA),VERIFIED
SEAL-00002-TC02,2026-09-01T09:32:02.813Z,849202,TC-02,พล. สมชาย พากเพียร,#EP-001,YubiKey 5C FIPS (Dual-Channel SE),FIPS 140-2 Overall Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-CIV-0002-2026-FIPS,0x5a13396c129c611f15232fdaf54bfad00c4147abdbc3424c71e4ec103dcc8cc3,ETDA Sec 26 (Advanced Secure Signature),VERIFIED
SEAL-00003-TC03,2026-09-01T09:32:02.813Z,849202,TC-03,ดร. กัญญารัตน์ เวชสิทธิ์,#EP-007,Trezor Safe 5 PQC Enclave,Common Criteria EAL6+ Certified,Dilithium-5 / Kyber-1024,CERT-SOV-PQC-0003-2026-EAL6,0x8f434346648f6b96df89dda901c5176b10a6d83961dd3c1ac88b59b2dc327aa4,ETDA Sec 26 (PQC Enclave),VERIFIED
SEAL-00004-TC04,2026-09-01T09:32:02.813Z,849202,TC-04,วศ. ธนพล เกียรติไพศาล,#EP-014,Ledger Flex Secure Enclave,Common Criteria EAL6+ Certified,SPHINCS+ PQC (State-Free Hash),CERT-SOV-SRE-0004-2026-CC,0xa591a6d40bf420404a011733cfb7b190d62c65bf0bcda32b57b277d9ad9f146e,NCSA Sec 35 (Immutable Audit Trail),VERIFIED
SEAL-00005-TC05,2026-09-01T09:32:02.813Z,849202,TC-05,ศ.ดร. นครินทร์ สุวรรณเมฆา,#EP-022,NitroKey HSM-PQC-05 (Hardened),FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-MESH-0005-2026-FIPS,0xd41d8cd98f00b204e9800998ecf8427e0123456789abcdef0123456789abcdef,ETDA Sec 26 (Mesh Consensus),VERIFIED
SEAL-00006-TC06,2026-09-01T09:32:02.813Z,849202,TC-06,พญ.ดร. รพิพร รัตนพิบูลย์,#EP-033,YubiKey 5C FIPS PIV-06,FIPS 140-2 Level 3 (PIV Slot 9A),FALCON-1024 (NIST Round 3),CERT-SOV-BIO-0006-2026-FIPS,0x4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865,PDPA Sec 37 (Zero-Knowledge Vault),VERIFIED
SEAL-00007-TC07,2026-09-01T09:32:02.813Z,849202,TC-07,ดร. ธีรภัทร ชาญวณิชย์,#EP-048,Trezor Safe 5 PQC-07,Common Criteria EAL6+ Certified,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-WARP-0007-2026-EAL6,0x7f9a149020000000000000000000000000000000000000000000000000004902,ETDA Sec 9 (General Electronic Signature),VERIFIED
SEAL-00008-TC08,2026-09-01T09:32:02.813Z,849202,TC-08,อ. เมธาวี อัครเดโช,#EP-059,Ledger Stax Enclave-08,Common Criteria EAL6+ Secure Chip,SPHINCS+ PQC (State-Free Hash),CERT-SOV-EVD-0008-2026-EAL6,0xe28f89b2bc8e4da4816bed34cdbb07528e18501da86fc4691763a43fa4c68,ETDA Sec 28 (Audit Ledger Safe Harbor),VERIFIED
SEAL-00009-TC09,2026-09-01T09:32:02.813Z,849202,TC-09,ดร. ชวินทร์ โรจนทรัพย์,#EP-077,NitroKey HSM-PQC-09,FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-CHAOS-0009-2026-FIPS,0xe3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,NCSA Sec 35 (Resilience Attestation),VERIFIED
SEAL-00010-TC10,2026-09-01T09:32:02.813Z,849202,TC-10,ดร. อภิชญา ทักษิณากุล,#EP-100,Custom Hardware HSM-10,Hardware Security Module Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-KNOW-0010-2026-LEVEL3,0x14902849202909ab814479844d8a14816bed34cdbb07528e18501da86fc46917,ETDA Sec 9 (Knowledge Binding),VERIFIED
SEAL-00011-TC01,2026-09-01T09:32:02.813Z,849202,TC-01,นายยุทธภูมิ พากเพียร,#EP-SOVEREIGN-01,NitroKey HSM-PQC-01,FIPS 140-3 Level 4 Secure Element,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-OMEGA-0001-2026-ROOT,0x909ab8140000000b479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Sovereign Root CA),VERIFIED
SEAL-00012-TC02,2026-09-01T09:32:02.813Z,849202,TC-02,พล. สมชาย พากเพียร,#EP-001,YubiKey 5C FIPS (Dual-Channel SE),FIPS 140-2 Overall Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-CIV-0002-2026-FIPS,0x909ab8140000000c479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Advanced Secure Signature),VERIFIED
